fecha,tasa,fecha_carga
18-12-2024,4.5,2025-06-09
07-11-2024,4.75,2025-06-09
19-09-2024,5.0,2025-06-09
26-07-2023,5.5,2025-06-09
03-05-2023,5.25,2025-06-09
22-03-2023,5.0,2025-06-09
01-02-2023,4.75,2025-06-09
14-12-2022,4.5,2025-06-09
02-11-2022,4.0,2025-06-09
21-09-2022,3.25,2025-06-09
18-12-2024,4.5,2025-06-15
07-11-2024,4.75,2025-06-15
19-09-2024,5.0,2025-06-15
26-07-2023,5.5,2025-06-15
03-05-2023,5.25,2025-06-15
22-03-2023,5.0,2025-06-15
01-02-2023,4.75,2025-06-15
14-12-2022,4.5,2025-06-15
02-11-2022,4.0,2025-06-15
21-09-2022,3.25,2025-06-15
18-12-2024,4.5,2025-06-15
07-11-2024,4.75,2025-06-15
19-09-2024,5.0,2025-06-15
26-07-2023,5.5,2025-06-15
03-05-2023,5.25,2025-06-15
22-03-2023,5.0,2025-06-15
01-02-2023,4.75,2025-06-15
14-12-2022,4.5,2025-06-15
02-11-2022,4.0,2025-06-15
21-09-2022,3.25,2025-06-15
18-12-2024,4.5,2025-06-15
07-11-2024,4.75,2025-06-15
19-09-2024,5.0,2025-06-15
26-07-2023,5.5,2025-06-15
03-05-2023,5.25,2025-06-15
22-03-2023,5.0,2025-06-15
01-02-2023,4.75,2025-06-15
14-12-2022,4.5,2025-06-15
02-11-2022,4.0,2025-06-15
21-09-2022,3.25,2025-06-15
18-12-2024,4.50 ,2025-06-15
07-11-2024,4.75 ,2025-06-15
19-09-2024,5.00 ,2025-06-15
26-07-2023,5.50 ,2025-06-15
03-05-2023,5.25 ,2025-06-15
22-03-2023,5.00 ,2025-06-15
01-02-2023,4.75 ,2025-06-15
14-12-2022,4.50 ,2025-06-15
02-11-2022,4.00 ,2025-06-15
21-09-2022,3.25 ,2025-06-15
