Ganancias horarias promedio (Mensual),Ganancias promedio por hora (Interanual),Promedio de horas semanales,Personas ocupadas,Índice De Costo De Empleo,Employment Cost - Benefits,Employment Cost - Wages,Tasa De Empleo,Trabajadores a tiempo completo,Nóminas gubernamentales,Despidos laborales y despidos,Jolts Vacantes de Empleo,Renuncias laborales informe JOLTs,Tasa de abandonos del trabajo,Ofertas de empleo,Tasa de participación,Salarios,Tasa de desempleo de largo plazo,Nóminas manufactureras,Nóminas no agrícolas,Nóminas privadas no agrícolas,Productividad No Agrícola,Empleo de Tiempo Parcial,Productividad,Tasa de desempleo U-6,Personas desempleadas,Tasa de desempleo,Costes laborales unitarios,Salarios,Salarios en la industria,Tasa de desempleo juvenil,fecha_hora,fecha_carga
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-08 23:55:29,2025-06-08
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-15 21:39:49,2025-06-15
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-15 21:46:35,2025-06-15
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-16 12:27:35,2025-06-16
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-17 12:27:38,2025-06-17
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-18 12:27:30,2025-06-18
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-19 12:27:02,2025-06-19
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-20 12:27:05,2025-06-20
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-21 12:23:08,2025-06-21
0.4,3.9,34.3,163273.0,0.9,1.2,0.8,59.7,134840.0,-1.0,1786.0,7391.0,3194.0,2.0,7964.0,62.4,122.24,0.85,-8.0,139.0,140.0,-1.5,28557.0,115.49,7.8,7237.0,4.2,6.6,122.24,28.92,9.7,2025-06-22 12:23:35,2025-06-22
