Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Liquidez en Soles (millones S/),fecha_carga
Ene92,1791,2025-06-08
Feb92,1917,2025-06-08
Mar92,2017,2025-06-08
Abr92,2118,2025-06-08
May92,2162,2025-06-08
Jun92,2200,2025-06-08
Jul92,2411,2025-06-08
Ago92,2391,2025-06-08
Sep92,2455,2025-06-08
Oct92,2508,2025-06-08
Nov92,2502,2025-06-08
Dic92,2798,2025-06-08
Ene93,2754,2025-06-08
Feb93,2919,2025-06-08
Mar93,2971,2025-06-08
Abr93,2975,2025-06-08
May93,2899,2025-06-08
Jun93,2959,2025-06-08
Jul93,3282,2025-06-08
Ago93,3255,2025-06-08
Sep93,3229,2025-06-08
Oct93,3371,2025-06-08
Nov93,3390,2025-06-08
Dic93,3732,2025-06-08
Ene94,3661,2025-06-08
Feb94,4015,2025-06-08
Mar94,4248,2025-06-08
Abr94,4286,2025-06-08
May94,4550,2025-06-08
Jun94,5024,2025-06-08
Jul94,5666,2025-06-08
Ago94,5364,2025-06-08
Sep94,5541,2025-06-08
Oct94,5622,2025-06-08
Nov94,5684,2025-06-08
Dic94,6134,2025-06-08
Ene95,5974,2025-06-08
Feb95,6187,2025-06-08
Mar95,6491,2025-06-08
Abr95,6495,2025-06-08
May95,6502,2025-06-08
Jun95,6931,2025-06-08
Jul95,7556,2025-06-08
Ago95,7366,2025-06-08
Sep95,7249,2025-06-08
Oct95,7428,2025-06-08
Nov95,7462,2025-06-08
Dic95,7882,2025-06-08
Ene96,7706,2025-06-08
Feb96,7926,2025-06-08
Mar96,8166,2025-06-08
Abr96,8282,2025-06-08
May96,8310,2025-06-08
Jun96,8500,2025-06-08
Jul96,8841,2025-06-08
Ago96,8647,2025-06-08
Sep96,8826,2025-06-08
Oct96,8733,2025-06-08
Nov96,8934,2025-06-08
Dic96,9593,2025-06-08
Ene97,9109,2025-06-08
Feb97,9124,2025-06-08
Mar97,9763,2025-06-08
Abr97,9609,2025-06-08
May97,9562,2025-06-08
Jun97,9815,2025-06-08
Jul97,10547,2025-06-08
Ago97,10287,2025-06-08
Sep97,10682,2025-06-08
Oct97,10828,2025-06-08
Nov97,11086,2025-06-08
Dic97,11920,2025-06-08
Ene98,11646,2025-06-08
Feb98,11435,2025-06-08
Mar98,11867,2025-06-08
Abr98,11782,2025-06-08
May98,11685,2025-06-08
